,x1,y1,x2,y2
0,279,50,353,83
1,296,91,371,119
2,309,125,392,158
3,335,164,425,205
4,370,211,463,251
5,386,257,489,304
6,431,316,545,371
7,461,386,581,445
8,519,459,650,519
9,358,38,429,66
10,374,72,452,101
11,414,101,495,133
12,432,135,513,175
13,464,182,559,221
14,506,226,602,268
15,554,278,659,324
16,597,333,706,389
17,660,399,796,471
18,706,482,850,559
19,604,551,748,621
21,576,614,712,704
22,636,12,676,53
24,684,38,718,81
25,725,71,759,113
26,768,107,811,155
27,822,140,866,189
28,880,187,924,235
29,941,228,994,283
30,1011,280,1071,337
31,1106,340,1167,407
32,732,15,797,43
33,763,45,829,74
34,807,76,884,107
35,864,108,945,140
36,941,148,1027,187
37,978,188,1068,228
38,1041,232,1153,274
39,1144,290,1254,340
40,958,1,1000,43
41,1010,31,1054,72
42,1066,59,1112,104
43,1128,88,1181,135
44,1195,127,1251,176
