,x1,y1,x2,y2
0,2,329,58,364
1,25,302,85,341
2,53,275,114,308
3,108,260,155,287
4,123,230,169,265
5,170,217,210,246
6,189,196,232,226
7,224,184,260,208
8,237,164,271,191
9,263,147,302,171
10,286,128,319,152
11,311,115,341,143
12,331,101,366,125
13,352,89,387,112
14,374,76,402,97
15,395,61,424,87
16,423,52,449,75
17,443,37,463,62
18,456,25,478,50
19,471,7,501,32
20,25,456,77,497
21,91,472,127,514
22,120,387,148,438
23,167,406,197,450
24,216,406,241,458
25,258,417,290,474
26,311,423,343,480
27,362,439,393,490
28,406,444,437,502
29,457,462,492,524
30,520,471,549,534
31,566,477,605,547
32,636,492,673,566
33,416,531,457,601
34,347,513,390,577
35,290,508,328,568
36,239,489,275,552
37,193,481,232,541
38,144,471,178,529
39,251,263,289,320
40,310,269,341,330
41,356,277,382,334
42,392,294,421,349
43,430,297,464,353
44,479,299,512,365
45,527,310,557,373
46,565,319,603,383
47,628,330,660,391
48,680,347,713,400
49,725,352,765,413
50,391,166,423,213
51,438,176,462,216
52,473,181,502,223
53,518,186,540,232
54,432,134,460,170
55,467,137,501,175
56,515,141,544,181
57,556,152,580,189
58,550,184,581,234
59,587,150,618,194
60,634,159,664,200
61,599,199,624,245
62,627,200,670,246
63,672,159,704,199
64,686,209,711,253
65,714,165,746,206
66,757,167,787,207
67,719,209,753,258
68,770,213,803,266
69,803,177,831,216
70,843,182,875,224
71,823,224,855,274
72,517,74,546,110
73,549,48,574,78
74,556,73,581,115
75,586,50,608,80
76,587,86,609,116
77,618,51,646,82
78,623,89,647,122
79,661,94,686,128
80,651,60,675,89
81,680,57,709,92
82,693,94,723,133
83,721,60,747,90
84,759,61,785,95
85,796,71,821,102
86,833,69,861,103
87,874,73,899,106
88,911,81,941,114
89,733,98,761,132
90,767,105,798,138
91,807,107,834,141
92,845,115,874,147
93,886,117,918,153
94,598,4,623,32
95,642,3,668,34
96,694,9,724,39
97,743,15,767,43
98,792,22,817,48
99,848,23,871,54
100,891,29,922,58
101,946,34,975,65
102,999,40,1029,72
103,1086,67,1151,86
104,1085,84,1155,103
105,1079,103,1146,125
106,1072,117,1139,138
107,1066,131,1138,154
108,1059,148,1131,172
109,1046,167,1127,191
110,1035,184,1126,209
111,1019,209,1107,232
112,1012,230,1104,259
113,1006,258,1092,289
114,998,285,1090,314
115,987,313,1082,343
116,988,349,1073,386
117,967,382,1065,415
118,963,405,1061,443
119,946,443,1040,479
120,922,471,1017,507
121,910,504,1033,535
122,902,535,1014,584
123,894,589,993,637
124,863,631,961,679
125,848,679,988,723
