,x1,y1,x2,y2
0,29,21,70,59
1,76,19,123,67
2,128,18,177,69
3,186,20,234,72
4,241,25,289,71
5,297,27,342,76
6,347,27,396,79
7,408,36,456,86
8,464,33,511,86
9,517,34,563,91
10,570,42,616,90
11,624,42,676,93
12,683,41,733,91
13,741,44,795,94
14,802,43,852,100
15,858,46,907,103
16,913,42,964,106
17,13,78,71,148
18,79,82,142,155
19,151,83,202,154
20,214,95,274,156
21,291,100,348,157
22,358,102,419,160
23,430,109,488,164
24,496,107,559,168
25,565,109,634,169
26,640,110,711,173
27,720,117,779,179
28,787,116,856,184
29,866,119,939,190
30,943,121,997,190
31,2,162,46,244
32,60,162,133,243
33,153,168,224,245
34,241,169,312,248
35,324,165,391,252
36,402,172,473,255
37,484,176,557,257
38,568,178,644,261
39,656,184,727,260
40,741,194,830,271
41,843,196,929,285
42,938,204,998,288
43,56,364,157,504
44,193,376,297,506
45,314,377,434,518
46,443,382,564,537
47,580,374,706,531
48,712,372,850,546
49,857,381,986,548
